job,age,campaign,euribor3m,y
retired,59,2,4.857,0
admin.,42,3,4.857,0
services,43,1,4.857,0
admin.,35,3,4.857,0
blue-collar,46,2,4.857,0
technician,27,2,4.857,0
admin.,47,3,4.857,0
admin.,31,2,4.857,0
blue-collar,32,1,4.857,0
admin.,54,3,4.857,0
management,56,1,4.857,0
services,48,2,4.857,0
admin.,44,2,4.857,0
admin.,46,2,4.857,0
services,45,2,4.857,0
admin.,43,2,4.857,0
admin.,40,2,4.857,0
management,56,2,4.857,0
entrepreneur,47,2,4.857,0
management,39,3,4.857,0
technician,48,2,4.857,0
housemaid,45,2,4.857,1
self-employed,36,2,4.857,0
management,49,2,4.857,0
services,46,3,4.857,0
blue-collar,38,2,4.857,0
housemaid,50,2,4.857,0
admin.,27,2,4.857,0
technician,40,3,4.857,0
management,46,2,4.857,0
admin.,40,3,4.857,0
management,33,2,4.857,0
retired,54,2,4.857,0
blue-collar,52,2,4.857,0
admin.,53,6,4.857,0
services,49,3,4.857,0
blue-collar,42,2,4.857,0
housemaid,49,3,4.857,0
entrepreneur,40,2,4.857,0
admin.,59,2,4.857,0
self-employed,51,2,4.857,0
housemaid,57,2,4.857,0
self-employed,38,3,4.857,0
self-employed,52,3,4.857,0
unemployed,26,3,4.857,0
admin.,35,2,4.857,0
admin.,51,4,4.857,0
blue-collar,43,2,4.857,0
admin.,42,2,4.857,0
retired,60,2,4.857,0
blue-collar,36,2,4.857,0
management,57,3,4.857,0
student,35,5,4.857,0
admin.,30,2,4.857,0
services,43,2,4.857,0
technician,40,2,4.857,0
technician,45,3,4.857,0
retired,56,5,4.857,0
services,46,3,4.857,0
blue-collar,41,2,4.857,0
admin.,42,2,4.857,0
blue-collar,56,2,4.857,0
entrepreneur,43,3,4.857,0
blue-collar,34,4,4.857,0
services,38,2,4.857,0
technician,40,2,4.857,0
admin.,38,4,4.857,0
entrepreneur,48,2,4.857,0
blue-collar,27,3,4.857,0
technician,24,2,4.857,0
admin.,47,2,4.857,0
blue-collar,48,3,4.857,0
admin.,31,2,4.857,0
self-employed,39,4,4.857,0
technician,41,3,4.857,0
blue-collar,49,3,4.857,0
retired,56,2,4.857,0
admin.,49,2,4.857,0
unemployed,47,3,4.857,0
blue-collar,44,3,4.857,0
admin.,48,2,4.857,0
housemaid,55,2,4.857,0
management,59,5,4.857,0
technician,44,2,4.857,0
blue-collar,46,3,4.857,0
blue-collar,39,2,4.857,0
unemployed,38,2,4.857,0
services,36,2,4.857,0
admin.,29,3,4.857,0
technician,31,3,4.857,0
services,30,2,4.857,0
blue-collar,36,3,4.857,0
blue-collar,60,3,4.857,0
admin.,36,3,4.857,0
services,32,3,4.857,0
blue-collar,39,2,4.857,0
services,30,3,4.856,0
blue-collar,39,3,4.856,0
blue-collar,37,3,4.856,0
blue-collar,39,3,4.856,0
blue-collar,46,3,4.856,0
unemployed,43,4,4.856,0
services,37,2,4.856,0
technician,30,3,4.856,0
technician,38,2,4.856,0
technician,31,3,4.856,0
admin.,44,2,4.856,0
self-employed,44,2,4.856,0
technician,38,2,4.856,0
student,30,3,4.856,0
blue-collar,37,2,4.856,0
housemaid,54,2,4.856,0
management,41,2,4.856,0
technician,43,2,4.856,0
housemaid,38,2,4.856,0
blue-collar,41,2,4.856,0
blue-collar,38,2,4.856,0
blue-collar,33,3,4.856,0
admin.,32,2,4.856,0
services,30,2,4.856,0
technician,43,3,4.856,0
services,30,1,4.856,0
technician,36,1,4.856,0
blue-collar,38,3,4.856,0
blue-collar,35,3,4.856,0
self-employed,50,1,4.856,0
blue-collar,38,6,4.856,0
admin.,58,2,4.856,0
technician,50,4,4.856,0
blue-collar,33,1,4.856,0
blue-collar,33,1,4.856,0
management,44,1,4.856,0
management,31,1,4.856,0
entrepreneur,40,3,4.856,0
unknown,28,1,4.856,0
services,36,1,4.856,0
blue-collar,44,1,4.856,0
blue-collar,38,1,4.856,0
blue-collar,33,1,4.856,0
blue-collar,39,1,4.856,0
blue-collar,47,1,4.856,0
services,47,1,4.856,0
entrepreneur,35,1,4.856,0
admin.,42,1,4.856,0
admin.,36,3,4.856,0
technician,35,2,4.856,0
services,36,1,4.856,0
entrepreneur,56,2,4.856,0
admin.,26,2,4.856,0
admin.,31,1,4.856,0
self-employed,57,1,4.856,0
services,39,1,4.856,0
blue-collar,43,1,4.856,0
admin.,50,1,4.856,0
blue-collar,52,1,4.856,0
blue-collar,39,1,4.856,0
technician,44,1,4.856,0
housemaid,36,1,4.856,0
management,54,1,4.856,0
admin.,27,2,4.856,0
admin.,31,1,4.856,1
admin.,31,1,4.856,0
blue-collar,28,1,4.856,0
management,31,1,4.856,0
management,30,1,4.856,0
technician,52,2,4.856,0
technician,37,1,4.856,0
services,30,6,4.856,0
blue-collar,45,1,4.856,0
technician,54,1,4.856,0
entrepreneur,49,1,4.856,0
admin.,44,3,4.856,0
student,28,2,4.856,1
technician,53,1,4.856,0
blue-collar,45,1,4.856,0
blue-collar,45,1,4.856,0
admin.,51,1,4.856,0
blue-collar,41,1,4.856,0
technician,43,4,4.856,0
admin.,31,2,4.856,0
admin.,39,1,4.856,0
technician,38,1,4.856,0
entrepreneur,50,1,4.856,0
admin.,53,2,4.856,0
admin.,44,1,4.856,0
blue-collar,53,1,4.856,0
services,24,1,4.856,0
admin.,34,1,4.856,0
technician,40,3,4.856,0
management,57,1,4.856,0
blue-collar,43,1,4.856,0
blue-collar,31,1,4.856,0
services,31,2,4.856,0
blue-collar,31,1,4.856,0
housemaid,45,2,4.856,0
admin.,38,2,4.856,0
entrepreneur,41,1,4.856,1
blue-collar,47,1,4.856,0
blue-collar,42,1,4.856,0
blue-collar,35,1,4.856,0
management,40,2,4.856,0
blue-collar,42,1,4.856,0
technician,34,1,4.856,0
admin.,48,2,4.856,0
blue-collar,35,1,4.856,0
blue-collar,33,1,4.856,0
technician,37,1,4.856,0
technician,43,1,4.856,0
admin.,42,1,4.856,0
admin.,46,2,4.856,0
blue-collar,37,1,4.856,1
blue-collar,40,1,4.856,0
blue-collar,40,1,4.856,0
entrepreneur,59,1,4.856,0
technician,43,1,4.856,0
blue-collar,44,1,4.856,0
blue-collar,44,1,4.856,1
admin.,41,1,4.856,0
unknown,28,2,4.856,0
services,48,1,4.856,0
admin.,31,1,4.856,0
blue-collar,27,2,4.856,0
technician,43,2,4.856,0
retired,47,1,4.856,0
blue-collar,40,2,4.856,0
unknown,43,1,4.856,0
technician,29,1,4.856,0
admin.,54,7,4.856,0
technician,36,1,4.856,0
admin.,30,1,4.856,0
services,38,6,4.856,0
blue-collar,39,1,4.856,0
blue-collar,33,2,4.856,0
retired,39,1,4.856,0
technician,38,1,4.856,0
admin.,44,1,4.856,0
blue-collar,33,1,4.856,0
blue-collar,37,2,4.856,0
management,32,1,4.856,0
technician,46,2,4.856,0
technician,34,2,4.856,0
technician,52,1,4.856,0
blue-collar,46,2,4.856,0
management,57,2,4.856,0
technician,52,1,4.856,0
technician,32,1,4.856,0
blue-collar,31,1,4.856,0
admin.,46,1,4.856,0
services,59,1,4.856,0
blue-collar,38,1,4.856,0
blue-collar,42,1,4.856,0
blue-collar,40,1,4.856,0
admin.,46,1,4.856,0
admin.,35,1,4.856,0
blue-collar,28,1,4.856,0
services,47,1,4.856,0
blue-collar,35,1,4.856,0
retired,48,1,4.856,0
blue-collar,40,3,4.856,0
services,32,2,4.856,0
retired,59,3,4.856,0
entrepreneur,48,1,4.856,0
blue-collar,45,2,4.856,0
blue-collar,49,4,4.856,0
admin.,51,3,4.856,0
technician,38,2,4.856,0
technician,53,2,4.856,0
blue-collar,49,3,4.856,0
blue-collar,31,2,4.856,0
services,36,2,4.856,0
retired,54,2,4.856,0
admin.,29,2,4.856,0
blue-collar,31,2,4.856,0
admin.,35,2,4.856,0
blue-collar,38,1,4.856,0
management,54,2,4.856,0
admin.,48,1,4.856,0
management,48,2,4.856,0
admin.,32,3,4.856,0
technician,34,2,4.856,0
technician,49,1,4.856,0
blue-collar,44,1,4.856,0
services,42,1,4.856,0
blue-collar,55,2,4.856,0
services,42,1,4.856,0
admin.,44,1,4.856,0
blue-collar,51,1,4.856,0
blue-collar,43,5,4.856,0
technician,52,2,4.856,0
blue-collar,45,5,4.856,0
services,41,1,4.856,0
technician,35,1,4.856,0
services,41,1,4.856,0
management,46,1,4.856,0
housemaid,36,2,4.856,0
technician,29,2,4.856,0
services,47,2,4.856,0
blue-collar,43,2,4.856,0
blue-collar,38,2,4.856,0
blue-collar,44,2,4.856,0
services,29,2,4.856,0
unknown,58,3,4.856,0
blue-collar,48,4,4.856,0
blue-collar,46,2,4.856,0
blue-collar,31,1,4.856,0
services,47,2,4.856,0
admin.,44,2,4.856,0
blue-collar,31,1,4.856,0
unemployed,38,3,4.856,0
admin.,33,1,4.856,0
blue-collar,53,1,4.856,0
management,33,2,4.856,0
self-employed,33,1,4.856,0
admin.,37,1,4.856,0
blue-collar,55,1,4.856,0
admin.,41,1,4.856,0
blue-collar,46,2,4.856,0
entrepreneur,32,1,4.856,0
blue-collar,48,1,4.856,0
entrepreneur,34,1,4.856,0
admin.,35,1,4.856,0
blue-collar,55,1,4.856,0
entrepreneur,45,3,4.856,0
management,48,2,4.856,0
blue-collar,34,1,4.856,0
admin.,46,1,4.856,0
blue-collar,34,1,4.856,0
unemployed,51,2,4.856,0
admin.,37,2,4.856,0
